0,International Small Caps ,GWX
1,International Mid Caps ,MDD
2,Global 100 ,IOO
3,World Index ,ACWI
4,World ex-U.S. ,GWL
5,Global 50 ,DGT
7,Developed Markets ,ADRD
8,Developed Market Value ,EFV
9,Emerging Markets Small Caps ,EWX
10,Frontier Markets ,FM
11,Emerging Markets ,ADRE
13,Scandinavia ,GXF
14,European Monetary Zone ,EZU
15,Euro Zone - Large Caps ,FEZ
16,Europe - Large Caps ,FEU
17,Europe ,ADRU
18,Asia 50 ,ADRA
19,Pacific ex-Japan ,EPP
20,Emerging Asia Pacific ,GMF
21,ASEAN ,ASEA
22,Emerging Europe ,GUR
23,BRIC,BIK
24,Andes ,AND
25,Emerging Middle East & Africa ,GAF
26,Emerging Latin America ,GML
27,Latin America 40 ,ILF
