"metals_etfs","index","url"
"Gold (GLD)","1","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Silver (SLV)","2","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Palladium (PALL)","3","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Platinum (PPLT)","4","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"energy_etfs","index","url"
"Gasoline (UGA)","5","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Natural Gas (UNG)","6","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Heating Oil (UHN)","7","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Oil (DBO)","8","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Brent Oil (BNO)","9","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"agri_etfs","index","url"
"Cocoa (NIB)","10","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Biofuels (FUE)","11","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Livestock (COW)","12","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Grains (JJG)","13","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Corn (CORN)","14","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Coffee (JO)","15","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"indus_etfs","index","url"
"Tin (JJT)","16","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Lead (LD)","17","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Aluminum (JJU)","18","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Copper (JJC)","19","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Nickel (JJN)","20","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"basket_etfs","index","url"
"Agriculture (DBA)","21","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Industrial Metals (DBB)","22","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"White Metals (WITE)","23","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Diversified Commodities (DBC)","24","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
"Energy (DBE)","25","http://seekingalpha.com/insight/etf-hub/asset_class_performance/commodities"
