"country_codes","index","url"
"Ireland (EIRL)","1","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Belgium (EWK)","2","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Israel (EIS)","3","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Japan (JPP)","4","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Netherlands (EWN)","5","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Austria (EWO)","6","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"New Zealand (ENZL)","7","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"France (EWQ)","8","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Italy (EWI)","9","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Switzerland (EWL)","10","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"United States (EUSA)","11","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Sweden (EWD)","12","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Germany (EWG)","13","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Argentina (ARGT)","14","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Portugal (PGAL)","15","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Hong Kong (EWH)","16","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"South Korea (EWY)","17","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"United Kingdom (EWU)","18","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Russia (RBL)","19","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Australia (EWA)","20","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Chile (ECH)","21","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"China (GXC)","22","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Spain (EWP)","23","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"India (PIN)","24","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Taiwan (EWT)","25","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Mexico (EWW)","26","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Malaysia (EWM)","27","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Indonesia (IDX)","28","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Thailand (THD)","29","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Philippines (EPHE)","30","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Norway (NORW)","31","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Singapore (EWS)","32","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Canada (EWC)","33","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Vietnam (VNM)","34","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Qatar (QAT)","35","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"United Arab Emirates (UAE)","36","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Nigeria (NGE)","37","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Poland (PLND)","38","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Peru (EPU)","39","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"South Africa (EZA)","40","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Turkey (TUR)","41","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Colombia (GXG)","42","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Egypt (EGPT)","43","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Greece (GREK)","44","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
"Brazil (EWZ)","45","http://seekingalpha.com/insight/etf-hub/asset_class_performance/countries"
