"world_etfs","index","url"
"International Small Caps (GWX)","1","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"International Mid Caps (MDD)","2","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Global 100 (IOO)","3","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"World Index (ACWI)","4","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"World ex-U.S. (GWL)","5","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Global 50 (DGT)","6","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"emerging_developed_etfs","index","url"
"Developed Markets (ADRD)","7","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Developed Market Value (EFV)","8","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Emerging Markets Small Caps (EWX)","9","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Frontier Markets (FM)","10","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Emerging Markets (ADRE)","11","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"regions_etfs","index","url"
"Scandinavia (GXF)","12","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"European Monetary Zone (EZU)","13","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Euro Zone - Large Caps (FEZ)","14","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Europe - Large Caps (FEU)","15","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Europe (ADRU)","16","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Asia 50 (ADRA)","17","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Pacific ex-Japan (EPP)","18","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Emerging Asia Pacific (GMF)","19","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"ASEAN (ASEA)","20","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Emerging Europe (GUR)","21","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Brazil, Russia, India, China (BIK)","22","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Andes (AND)","23","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Emerging Middle East & Africa (GAF)","24","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Emerging Latin America (GML)","25","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
"Latin America 40 (ILF)","26","http://seekingalpha.com/insight/etf-hub/asset_class_performance/global_and_regions"
