"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"1",1,15,78,799,18263
"2",2,79,130,498,18263
"3",3,131,181,458,18263
"4",4,182,230,512,18263
"5",5,231,281,544,18264
"6",6,282,342,673,18264
"7",7,343,394,500,18264
"8",8,395,448,472,18264
"9",9,449,506,531,18264
"10",10,507,574,623,18265
"11",11,575,622,314,18265
"12",12,623,663,288,18265
"13",13,664,723,856,18265
"14",14,724,776,418,18265
"15",15,777,824,435,18265
"16",16,825,888,693,18265
"17",17,889,928,458,18265
"18",18,929,974,516,18265
"19",19,975,1020,265,18266
"20",20,1021,1072,514,18266
"21",21,1073,1111,316,18266
"22",22,1112,1162,449,18266
"23",23,1163,1224,722,18266
"24",24,1225,1277,586,18266
"25",25,1278,1314,269,18266
"26",26,1315,1367,561,18266
"27",27,1368,1414,226,18266
"28",28,1415,1470,530,18266
"29",29,1471,1526,413,18266
"30",30,1527,1586,738,18266
"31",31,1587,1650,895,18266
"32",32,1651,1698,375,18267
"33",33,1699,1750,475,18267
"34",34,1751,1816,642,18267
"35",35,1817,1880,720,18267
"36",36,1881,1940,678,18267
"37",37,1941,1996,563,18267
"38",38,1997,2050,442,18267
"39",39,2051,2094,369,18268
"40",40,2095,2146,570,18268
"41",41,2147,2196,515,18270
"42",42,2197,2235,277,18270
"43",43,2236,2290,333,18270
"44",44,2291,2329,269,18270
"45",45,2330,2428,1940,18270
"46",46,2429,2499,1049,18270
"47",47,2500,2554,896,18271
"48",48,2555,2619,695,18271
"49",49,2620,2677,481,18271
"50",50,2678,2732,380,18271
"51",51,2733,2787,485,18272
"52",52,2788,2844,616,18272
"53",53,2845,2885,206,18272
"54",54,2886,2946,488,18272
"55",55,2947,3004,555,18272
"56",56,3005,3066,1139,18272
"57",57,3067,3120,333,18272
"58",58,3121,3173,427,18272
"59",59,3174,3235,443,18272
"60",60,3236,3301,707,18273
"61",61,3302,3353,454,18273
"62",62,3354,3406,692,18273
"63",63,3407,3450,394,18273
"64",64,3451,3512,706,18273
"65",65,3513,3568,423,18273
"66",66,3569,3622,549,18273
"67",67,3623,3672,492,18273
"68",68,3673,3749,676,18274
"69",69,3750,3824,765,18274
"70",70,3825,3893,512,18274
"71",71,3894,3946,465,18274
"72",72,3947,4011,692,18274
"73",73,4012,4047,115,18274
"74",74,4048,4103,698,18274
"75",75,4104,4158,488,18274
"76",76,4159,4237,774,18275
"77",77,4238,4273,219,18275
"78",78,4274,4318,515,18276
"79",79,4319,4365,514,18277
"80",80,4366,4405,196,18277
"81",81,4406,4454,428,18277
"82",82,4455,4522,571,18277
"83",83,4523,4583,535,18277
"84",84,4584,4631,438,18277
"85",85,4632,4687,456,18277
"86",86,4688,4733,491,18277
"87",87,4734,4772,378,18277
"88",88,4773,4882,957,18277
"89",89,4883,4926,299,18278
"90",90,4927,4965,299,18278
"91",91,4966,5052,1718,18278
"92",92,5053,5112,680,18278
"93",93,5113,5166,465,18278
"94",94,5167,5212,267,18279
"95",95,5213,5271,620,18279
"96",96,5272,5317,274,18279
"97",97,5318,5415,918,18279
"98",98,5416,5473,531,18279
"99",99,5474,5509,96,18279
"100",100,5510,5580,925,18279
"101",101,5581,5647,716,18279
"102",102,5648,5718,707,18279
"103",103,5719,5782,395,18279
"104",104,5783,5820,133,18280
"105",105,5821,5885,732,18280
"106",106,5886,5941,412,18280
"107",107,5942,6044,894,18280
"108",108,6045,6094,420,18280
"109",109,6095,6127,616,18280
"110",110,6128,6175,842,18280
"111",111,6176,6256,976,18280
"112",112,6257,6320,577,18280
"113",113,6321,6390,702,18280
"114",114,6391,6436,274,18280
"115",115,6437,6483,160,18280
"116",116,6484,6541,431,18280
"117",117,6542,6605,577,18280
"118",118,6606,6646,148,18280
"119",119,6647,6716,702,18280
"120",120,6717,6771,427,18281
"121",121,6772,6829,415,18281
"122",122,6830,6896,529,18281
"123",123,6897,6935,264,18281
"124",124,6936,6974,281,18281
"125",125,6975,7032,426,18281
"126",126,7033,7113,937,18281
"127",127,7114,7166,539,18281
"128",128,7167,7214,847,18281
"129",129,7215,7282,478,18281
"130",130,7283,7344,693,18281
"131",131,7345,7412,738,18281
"132",132,7413,7468,411,18281
"133",133,7469,7554,757,18282
"134",134,7555,7601,317,18284
"135",135,7602,7659,571,18284
"136",136,7660,7701,284,18284
"137",137,7702,7757,658,18284
"138",138,7758,7801,379,18284
"139",139,7802,7845,289,18284
"140",140,7846,7885,268,18284
"141",141,7886,7925,229,18284
"142",142,7926,7973,294,18285
"143",143,7974,8042,571,18285
"144",144,8043,8103,655,18285
"145",145,8104,8142,238,18285
"146",146,8143,8183,203,18285
"147",147,8184,8244,416,18285
"148",148,8245,8305,824,18285
"149",149,8306,8347,492,18285
"150",150,8348,8403,664,18285
"151",151,8404,8466,470,18285
"152",152,8467,8510,290,18285
"153",153,8511,8574,761,18286
"154",154,8575,8636,670,18286
"155",155,8637,8693,493,18286
"156",156,8694,8747,385,18286
"157",157,8748,8786,280,18286
