,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound
0,1,15,45,774,0.078,0.773,0.149,0.9951
1,2,46,80,765,0.046,0.891,0.063,0.5372
2,3,81,105,318,0.008,0.93,0.062,0.9524
3,4,106,176,2490,0.051,0.879,0.069,0.9937
4,5,177,201,372,0.037,0.901,0.063,0.9079
5,6,202,238,471,0.004,0.868,0.128,0.9952
6,7,239,275,734,0.076,0.826,0.099,0.894
7,8,276,342,1723,0.028,0.89,0.082,0.9978
8,9,343,367,372,0.039,0.89,0.071,0.933
9,10,368,429,1222,0.021,0.896,0.082,0.9966
10,11,430,461,653,0.023,0.893,0.084,0.9904
11,12,462,519,1684,0.027,0.865,0.108,0.9992
12,13,520,555,776,0.021,0.875,0.103,0.9958
13,14,556,577,135,0.045,0.955,0.0,-0.7783
14,15,578,609,673,0.026,0.888,0.086,0.9911
15,16,610,625,163,0.083,0.874,0.043,-0.7361
16,17,626,647,270,0.024,0.933,0.043,0.5574
17,18,648,699,1690,0.034,0.908,0.058,0.9793
18,19,700,719,236,0.063,0.856,0.081,0.421
19,20,720,769,1669,0.033,0.904,0.063,0.9886
20,21,770,827,1452,0.025,0.876,0.1,0.9986
21,22,828,915,2266,0.029,0.882,0.089,0.9993
22,23,916,937,243,0.079,0.854,0.067,-0.5277
23,24,938,963,480,0.053,0.885,0.063,0.4536
24,25,964,997,615,0.053,0.9,0.047,0.1783
25,26,998,1031,615,0.053,0.9,0.047,0.1783
26,27,1032,1079,1267,0.026,0.93,0.044,0.9097
27,28,1080,1159,2262,0.023,0.91,0.067,0.9986
28,29,1160,1191,477,0.003,0.939,0.058,0.949
29,30,1192,1239,1106,0.007,0.95,0.043,0.9859
30,31,1240,1271,477,0.003,0.939,0.058,0.949
31,32,1272,1323,1750,0.024,0.902,0.074,0.9981
32,33,1324,1399,2211,0.02,0.915,0.065,0.9986
33,34,1400,1447,1106,0.007,0.95,0.043,0.9859
34,35,1448,1504,1335,0.023,0.814,0.163,0.9997
35,36,1505,1560,1447,0.116,0.798,0.087,-0.9911
36,37,1561,1630,2006,0.036,0.884,0.079,0.9975
37,38,1631,1672,884,0.052,0.864,0.084,0.9822
38,39,1673,1770,1947,0.036,0.878,0.085,0.9984
39,40,1771,1792,215,0.007,0.882,0.111,0.9686
40,41,1793,1810,50,0.067,0.933,0.0,-0.5267
41,42,1811,1881,447,0.063,0.852,0.085,0.5399
42,43,1882,1943,1878,0.055,0.871,0.075,0.9829
43,44,1944,1971,472,0.043,0.908,0.049,-0.3625
44,45,1972,2024,1015,0.017,0.942,0.042,0.9665
45,46,2025,2064,848,0.102,0.805,0.093,-0.533
46,47,2065,2112,1460,0.042,0.89,0.068,0.9846
47,48,2113,2158,1461,0.042,0.889,0.069,0.9854
48,49,2159,2176,117,0.016,0.915,0.068,0.7184
49,50,2177,2194,62,0.03,0.97,0.0,-0.296
50,51,2195,2216,160,0.015,0.873,0.113,0.9393
51,52,2217,2246,638,0.019,0.843,0.138,0.9978
52,53,2247,2298,1579,0.044,0.847,0.109,0.9986
53,54,2299,2332,823,0.07,0.852,0.077,0.2448
54,55,2333,2434,2036,0.025,0.853,0.121,0.9996
55,56,2435,2470,604,0.024,0.876,0.1,0.9916
56,57,2471,2525,1141,0.013,0.899,0.088,0.9975
57,58,2526,2581,1233,0.066,0.855,0.08,0.9548
58,59,2582,2645,1757,0.039,0.848,0.112,0.9989
59,60,2646,2665,427,0.017,0.931,0.052,0.9313
60,61,2666,2717,1145,0.063,0.867,0.07,0.443
61,62,2718,2771,1233,0.066,0.855,0.08,0.9548
62,63,2772,2837,1983,0.034,0.898,0.068,0.9973
63,64,2838,2913,1827,0.063,0.837,0.1,0.9974
64,65,2914,2959,1870,0.09,0.838,0.072,-0.9902
65,66,2960,3003,1109,0.049,0.842,0.109,0.9961
66,67,3004,3033,644,0.045,0.857,0.099,0.9882
67,68,3034,3109,1811,0.062,0.837,0.101,0.9975
68,69,3110,3147,706,0.041,0.845,0.114,0.9939
69,70,3148,3195,1802,0.094,0.832,0.074,-0.9907
70,71,3196,3224,422,0.043,0.864,0.093,0.9543
71,72,3225,3251,374,0.016,0.866,0.119,0.9907
72,73,3252,3282,459,0.011,0.897,0.092,0.9903
73,74,3283,3311,552,0.006,0.853,0.141,0.9973
74,75,3312,3360,1119,0.015,0.904,0.081,0.9973
75,76,3361,3409,1038,0.06,0.817,0.123,0.9961
76,77,3410,3444,722,0.025,0.879,0.096,0.9928
77,78,3445,3485,804,0.027,0.893,0.079,0.9905
78,79,3486,3522,776,0.037,0.866,0.097,0.9912
79,80,3523,3595,1550,0.029,0.863,0.108,0.9991
80,81,3596,3642,1411,0.053,0.86,0.088,0.9906
81,82,3643,3707,2759,0.066,0.829,0.106,0.9988
82,83,3708,3734,315,0.0,0.88,0.12,0.9872
83,84,3735,3773,940,0.011,0.902,0.088,0.9961
84,85,3774,3810,675,0.021,0.917,0.062,0.9661
85,86,3811,3847,737,0.031,0.881,0.088,0.9877
86,87,3848,3882,685,0.017,0.887,0.096,0.9936
87,88,3883,3915,514,0.027,0.862,0.111,0.9906
88,89,3916,3964,1121,0.015,0.904,0.081,0.9973
89,90,3965,4010,606,0.021,0.899,0.08,0.9723
90,91,4011,4048,616,0.14,0.806,0.054,-0.9919
91,92,4049,4142,3010,0.071,0.854,0.075,0.9157
92,93,4143,4162,121,0.016,0.923,0.061,0.7184
93,94,4163,4202,788,0.076,0.79,0.134,0.9947
94,95,4203,4288,1027,0.02,0.864,0.116,0.9983
95,96,4289,4363,1192,0.054,0.881,0.065,0.7169
96,97,4364,4403,792,0.077,0.793,0.131,0.9938
97,98,4404,4425,237,0.026,0.915,0.059,0.8099
98,99,4426,4463,883,0.062,0.871,0.066,0.8289
99,100,4464,4521,1356,0.069,0.878,0.053,-0.9639
