,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound
0,1,15,78,799,0.047,0.913,0.041,-0.8149
1,2,79,130,498,0.059,0.833,0.108,0.9824
2,3,131,181,458,0.03,0.912,0.058,0.9419
3,4,182,230,512,0.025,0.918,0.058,0.9565
4,5,231,281,544,0.08,0.83,0.091,0.7859
5,6,282,342,673,0.026,0.871,0.104,0.9956
6,7,343,394,500,0.056,0.836,0.107,0.9832
7,8,395,448,472,0.029,0.918,0.053,0.9313
8,9,449,506,531,0.033,0.893,0.075,0.9772
9,10,507,574,623,0.098,0.846,0.055,-0.9874
10,11,575,622,314,0.076,0.873,0.052,-0.7615
11,12,623,663,288,0.043,0.911,0.046,0.3291
12,13,664,723,856,0.057,0.868,0.075,0.9165
13,14,724,776,418,0.1,0.835,0.065,-0.9483
14,15,777,824,435,0.03,0.922,0.048,0.9042
15,16,825,888,693,0.024,0.871,0.105,0.9962
16,17,889,928,458,0.036,0.867,0.097,0.9844
17,18,929,974,516,0.036,0.889,0.075,0.9585
18,19,975,1020,265,0.055,0.866,0.079,0.8126
19,20,1021,1072,514,0.067,0.873,0.06,-0.1531
20,21,1073,1111,316,0.082,0.813,0.105,0.9085
21,22,1112,1162,449,0.031,0.884,0.085,0.9817
22,23,1163,1224,722,0.048,0.82,0.132,0.9971
23,24,1225,1277,586,0.031,0.863,0.106,0.9923
24,25,1278,1314,269,0.074,0.849,0.077,0.3384
25,26,1315,1367,561,0.051,0.854,0.095,0.9678
26,27,1368,1414,226,0.067,0.904,0.029,-0.9255
27,28,1415,1470,530,0.019,0.924,0.058,0.9548
28,29,1471,1526,413,0.015,0.865,0.119,0.9934
29,30,1527,1586,738,0.072,0.873,0.055,-0.8708
30,31,1587,1650,895,0.055,0.874,0.071,0.9165
31,32,1651,1698,375,0.059,0.878,0.063,0.3832
32,33,1699,1750,475,0.033,0.846,0.121,0.9946
33,34,1751,1816,642,0.078,0.827,0.095,0.7246
34,35,1817,1880,720,0.04,0.835,0.125,0.9969
35,36,1881,1940,678,0.074,0.852,0.074,0.775
36,37,1941,1996,563,0.051,0.853,0.096,0.9721
37,38,1997,2050,442,0.023,0.89,0.086,0.9872
38,39,2051,2094,369,0.055,0.858,0.088,0.9517
39,40,2095,2146,570,0.04,0.871,0.089,0.9875
40,41,2147,2196,515,0.06,0.865,0.075,0.7096
41,42,2197,2235,277,0.038,0.82,0.142,0.992
42,43,2236,2290,333,0.02,0.937,0.044,0.8176
43,44,2291,2329,269,0.038,0.817,0.145,0.992
44,45,2330,2428,1940,0.072,0.854,0.075,-0.7886
45,46,2429,2499,1049,0.033,0.877,0.09,0.9945
46,47,2500,2554,896,0.071,0.776,0.153,0.997
47,48,2555,2619,695,0.049,0.835,0.115,0.9925
48,49,2620,2677,481,0.078,0.816,0.106,0.9671
49,50,2678,2732,380,0.03,0.856,0.113,0.9915
50,51,2733,2787,485,0.031,0.867,0.102,0.9889
51,52,2788,2844,616,0.066,0.858,0.076,0.8386
52,53,2845,2885,206,0.028,0.914,0.058,0.8074
53,54,2886,2946,488,0.03,0.881,0.089,0.9839
54,55,2947,3004,555,0.094,0.879,0.027,-0.9883
55,56,3005,3066,1139,0.135,0.788,0.077,-0.9978
56,57,3067,3120,333,0.027,0.87,0.103,0.9788
57,58,3121,3173,427,0.057,0.836,0.108,0.9741
58,59,3174,3235,443,0.032,0.905,0.063,0.9313
59,60,3236,3301,707,0.047,0.827,0.125,0.9978
60,61,3302,3353,454,0.03,0.891,0.079,0.9826
61,62,3354,3406,692,0.035,0.849,0.117,0.9948
62,63,3407,3450,394,0.026,0.861,0.112,0.991
63,64,3451,3512,706,0.048,0.9,0.052,0.73
64,65,3513,3568,423,0.025,0.915,0.06,0.9485
65,66,3569,3622,549,0.053,0.882,0.065,0.8979
66,67,3623,3672,492,0.037,0.858,0.104,0.9887
67,68,3673,3749,676,0.093,0.84,0.067,-0.9452
68,69,3750,3824,765,0.032,0.905,0.064,0.9616
69,70,3825,3893,512,0.094,0.822,0.083,-0.8434
70,71,3894,3946,465,0.079,0.88,0.041,-0.9657
71,72,3947,4011,692,0.049,0.821,0.13,0.9979
72,73,4012,4047,115,0.066,0.863,0.071,0.0258
73,74,4048,4103,698,0.035,0.852,0.113,0.9944
74,75,4104,4158,488,0.071,0.888,0.042,-0.926
75,76,4159,4237,774,0.031,0.905,0.065,0.9694
76,77,4238,4273,219,0.029,0.904,0.066,0.9274
77,78,4274,4318,515,0.029,0.873,0.098,0.9907
78,79,4319,4365,514,0.029,0.873,0.098,0.9907
79,80,4366,4405,196,0.07,0.904,0.026,-0.9092
80,81,4406,4454,428,0.092,0.8,0.109,0.8873
81,82,4455,4522,571,0.058,0.872,0.07,0.8176
82,83,4523,4583,535,0.055,0.851,0.094,0.9628
83,84,4584,4631,438,0.05,0.873,0.077,0.9403
84,85,4632,4687,456,0.032,0.895,0.073,0.9736
85,86,4688,4733,491,0.034,0.876,0.09,0.9852
86,87,4734,4772,378,0.102,0.839,0.059,-0.9648
87,88,4773,4882,957,0.042,0.907,0.051,0.6858
88,89,4883,4926,299,0.084,0.817,0.099,0.802
89,90,4927,4965,299,0.074,0.841,0.085,0.3737
90,91,4966,5052,1718,0.127,0.775,0.098,-0.9965
91,92,5053,5112,680,0.054,0.831,0.115,0.9943
92,93,5113,5166,465,0.051,0.889,0.06,0.8753
