,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound
177,178,7671,7708,1003,0.019,0.93,0.051,0.9704
555,556,26428,26515,2300,0.027,0.897,0.076,0.9985
940,941,57128,57162,672,0.002,0.94,0.058,0.9887
860,861,53885,53923,809,0.027,0.855,0.118,0.9977
892,893,55613,55665,710,0.028,0.881,0.091,0.9892
528,529,24994,25035,1017,0.08,0.771,0.149,0.9971
976,977,58664,58694,358,0.056,0.836,0.108,0.9468
650,651,39403,39455,1246,0.047,0.895,0.058,0.922
97,98,4404,4425,237,0.026,0.915,0.059,0.8099
556,557,26516,26549,775,0.017,0.915,0.068,0.9882
58,59,2582,2645,1757,0.039,0.848,0.112,0.9989
1138,1139,65331,65404,1277,0.016,0.887,0.097,0.9988
1155,1156,66346,66422,2030,0.025,0.904,0.07,0.9982
409,410,18360,18413,1292,0.033,0.854,0.114,0.9986
377,378,16765,16822,1283,0.031,0.879,0.09,0.9976
936,937,57018,57050,684,0.02,0.917,0.063,0.966
248,249,10854,10905,1132,0.013,0.915,0.072,0.9942
217,218,9374,9391,70,0.027,0.973,0.0,-0.296
230,231,10114,10169,719,0.014,0.908,0.078,0.9909
423,424,19082,19123,1252,0.006,0.902,0.092,0.9983
764,765,48401,48415,69,0.024,0.878,0.098,0.765
1175,1176,71863,71970,946,0.041,0.843,0.116,0.9983
257,258,11285,11330,958,0.053,0.84,0.107,0.9929
1166,1167,71180,71240,517,0.058,0.796,0.146,0.9971
677,678,40306,40328,231,0.02,0.874,0.106,0.9531
1099,1100,63128,63160,838,0.046,0.853,0.101,0.9927
997,998,59267,59293,232,0.013,0.928,0.06,0.8519
195,196,8466,8489,328,0.013,0.905,0.081,0.9756
791,792,50829,50843,69,0.0,0.949,0.051,0.4767
151,152,6683,6700,108,0.018,0.921,0.061,0.6444
6,7,239,275,734,0.076,0.826,0.099,0.894
482,483,22084,22123,814,0.047,0.889,0.064,0.8645
943,944,57263,57291,212,0.01,0.912,0.078,0.9169
690,691,40709,40741,877,0.064,0.83,0.106,0.9913
235,236,10270,10309,813,0.138,0.768,0.094,-0.9889
1026,1027,60205,60489,4423,0.041,0.846,0.113,0.9999
1114,1115,63771,63816,354,0.015,0.867,0.119,0.9924
289,290,12688,12737,1430,0.044,0.879,0.078,0.9921
546,547,25996,26056,2218,0.023,0.83,0.147,0.9998
778,779,49356,49370,75,0.025,0.864,0.111,0.7964
1100,1101,63161,63210,697,0.065,0.834,0.101,0.9748
154,155,6785,6814,327,0.072,0.867,0.061,-0.4588
675,676,40252,40280,769,0.015,0.881,0.104,0.9951
1181,1182,72302,72349,413,0.048,0.794,0.158,0.9951
743,744,47134,47513,4778,0.032,0.857,0.11,0.9999
875,876,54566,54608,1043,0.107,0.822,0.071,-0.987
945,946,57325,57369,1046,0.039,0.796,0.164,0.9991
618,619,36199,36224,390,0.018,0.885,0.097,0.9765
353,354,15657,15720,869,0.057,0.878,0.065,0.9204
720,721,41932,41966,274,0.032,0.892,0.077,0.8979
644,645,38931,39147,413,0.0,0.908,0.092,0.9869
418,419,18818,18879,776,0.053,0.867,0.08,0.9337
1042,1043,61148,61178,369,0.083,0.885,0.032,-0.9584
442,443,20122,20175,1553,0.022,0.911,0.067,0.996
589,590,30756,30823,2608,0.06,0.851,0.089,0.9971
929,930,56808,56834,517,0.089,0.846,0.065,-0.7768
992,993,59116,59140,140,0.0,0.878,0.122,0.9403
1086,1087,62719,62745,239,0.02,0.861,0.119,0.9719
794,795,50874,50888,73,0.08,0.886,0.034,-0.4588
308,309,13680,13723,1245,0.034,0.908,0.058,0.9545
1033,1034,60823,60857,351,0.047,0.837,0.116,0.9716
1109,1110,63581,63620,144,0.0,0.93,0.07,0.9413
871,872,54442,54470,268,0.032,0.866,0.102,0.9517
935,936,56980,57017,199,0.01,0.944,0.046,0.7783
626,627,38159,38201,904,0.055,0.872,0.074,0.9173
602,603,33119,33204,1575,0.026,0.894,0.08,0.9979
710,711,41457,41487,649,0.073,0.82,0.107,0.9808
179,180,7757,7806,1413,0.03,0.873,0.096,0.9982
824,825,51849,51887,998,0.049,0.833,0.118,0.9969
1050,1051,61420,61440,228,0.091,0.732,0.178,0.9677
200,201,8692,8748,1233,0.025,0.926,0.049,0.9523
919,920,56520,56542,132,0.0,0.921,0.079,0.8519
861,862,53924,53970,1814,0.107,0.793,0.1,-0.8712
147,148,6575,6600,464,0.047,0.879,0.074,0.9319
61,62,2718,2771,1233,0.066,0.855,0.08,0.9548
726,727,42114,42136,136,0.034,0.889,0.077,0.7625
267,268,11779,11798,120,0.025,0.85,0.125,0.9403
378,379,16823,16876,1527,0.052,0.867,0.081,0.9929
757,758,48296,48310,71,0.0,0.907,0.093,0.7964
913,914,56304,56330,240,0.0,0.88,0.12,0.9774
693,694,40796,40820,306,0.0,0.833,0.167,0.994
407,408,18210,18313,2524,0.037,0.847,0.116,0.9996
15,16,610,625,163,0.083,0.874,0.043,-0.7361
139,140,6231,6258,473,0.04,0.86,0.099,0.9825
640,641,38631,38659,281,0.021,0.835,0.144,0.9885
878,879,54705,54733,548,0.027,0.839,0.134,0.9942
255,256,11187,11238,1150,0.048,0.847,0.105,0.9968
475,476,21680,21769,3507,0.037,0.843,0.12,0.9998
1142,1143,65583,65629,426,0.019,0.907,0.074,0.9814
488,489,22387,22428,737,0.018,0.916,0.067,0.9837
870,871,54413,54441,218,0.03,0.867,0.103,0.9432
754,755,47733,48232,2571,0.007,0.927,0.065,0.9992
804,805,51186,51214,206,0.0,0.887,0.113,0.9726
581,582,29378,29413,560,0.003,0.93,0.067,0.9874
665,666,39923,39945,179,0.105,0.86,0.035,-0.872
855,856,53736,53768,482,0.023,0.892,0.085,0.9835
196,197,8490,8545,1271,0.024,0.926,0.05,0.9592
974,975,58556,58598,389,0.023,0.915,0.062,0.8684
1064,1065,61906,61938,563,0.022,0.83,0.148,0.997
57,58,2526,2581,1233,0.066,0.855,0.08,0.9548
